latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
35.75,139.75,37.0,32400,Asia/Tokyo,GMT+9

time,global_tilted_irradiance_instant (W/m²)
2025-09-09T00:00,0.0
2025-09-09T01:00,0.0
2025-09-09T02:00,0.0
2025-09-09T03:00,0.0
2025-09-09T04:00,0.0
2025-09-09T05:00,0.0
2025-09-09T06:00,18.0
2025-09-09T07:00,173.7
2025-09-09T08:00,375.5
2025-09-09T09:00,536.8
2025-09-09T10:00,631.8
2025-09-09T11:00,678.2
2025-09-09T12:00,688.4
2025-09-09T13:00,644.7
2025-09-09T14:00,551.6
2025-09-09T15:00,412.4
2025-09-09T16:00,258.1
2025-09-09T17:00,115.8
2025-09-09T18:00,0.0
2025-09-09T19:00,0.0
2025-09-09T20:00,0.0
2025-09-09T21:00,0.0
2025-09-09T22:00,0.0
2025-09-09T23:00,0.0
2025-09-10T00:00,0.0
2025-09-10T01:00,0.0
2025-09-10T02:00,0.0
2025-09-10T03:00,0.0
2025-09-10T04:00,0.0
2025-09-10T05:00,0.0
2025-09-10T06:00,15.3
2025-09-10T07:00,133.9
2025-09-10T08:00,294.6
2025-09-10T09:00,457.3
2025-09-10T10:00,599.7
2025-09-10T11:00,683.4
2025-09-10T12:00,681.3
2025-09-10T13:00,602.9
2025-09-10T14:00,485.2
2025-09-10T15:00,343.1
2025-09-10T16:00,200.1
2025-09-10T17:00,83.3
2025-09-10T18:00,0.0
2025-09-10T19:00,0.0
2025-09-10T20:00,0.0
2025-09-10T21:00,0.0
2025-09-10T22:00,0.0
2025-09-10T23:00,0.0
2025-09-11T00:00,0.0
2025-09-11T01:00,0.0
2025-09-11T02:00,0.0
2025-09-11T03:00,0.0
2025-09-11T04:00,0.0
2025-09-11T05:00,0.0
2025-09-11T06:00,15.2
2025-09-11T07:00,141.6
2025-09-11T08:00,305.9
2025-09-11T09:00,439.5
2025-09-11T10:00,517.3
2025-09-11T11:00,533.7
2025-09-11T12:00,470.4
2025-09-11T13:00,351.6
2025-09-11T14:00,246.2
2025-09-11T15:00,176.2
2025-09-11T16:00,116.7
2025-09-11T17:00,53.9
2025-09-11T18:00,0.0
2025-09-11T19:00,0.0
2025-09-11T20:00,0.0
2025-09-11T21:00,0.0
2025-09-11T22:00,0.0
2025-09-11T23:00,0.0
2025-09-12T00:00,0.0
2025-09-12T01:00,0.0
2025-09-12T02:00,0.0
2025-09-12T03:00,0.0
2025-09-12T04:00,0.0
2025-09-12T05:00,0.0
2025-09-12T06:00,3.8
2025-09-12T07:00,33.4
2025-09-12T08:00,77.8
2025-09-12T09:00,134.9
2025-09-12T10:00,196.0
2025-09-12T11:00,248.7
2025-09-12T12:00,285.6
2025-09-12T13:00,297.4
2025-09-12T14:00,272.9
2025-09-12T15:00,212.9
2025-09-12T16:00,135.6
2025-09-12T17:00,59.5
2025-09-12T18:00,0.0
2025-09-12T19:00,0.0
2025-09-12T20:00,0.0
2025-09-12T21:00,0.0
2025-09-12T22:00,0.0
2025-09-12T23:00,0.0
2025-09-13T00:00,0.0
2025-09-13T01:00,0.0
2025-09-13T02:00,0.0
2025-09-13T03:00,0.0
2025-09-13T04:00,0.0
2025-09-13T05:00,0.0
2025-09-13T06:00,8.7
2025-09-13T07:00,81.5
2025-09-13T08:00,188.5
2025-09-13T09:00,319.4
2025-09-13T10:00,457.5
2025-09-13T11:00,565.6
2025-09-13T12:00,619.0
2025-09-13T13:00,611.9
2025-09-13T14:00,537.2
2025-09-13T15:00,396.3
2025-09-13T16:00,235.2
2025-09-13T17:00,96.0
2025-09-13T18:00,0.0
2025-09-13T19:00,0.0
2025-09-13T20:00,0.0
2025-09-13T21:00,0.0
2025-09-13T22:00,0.0
2025-09-13T23:00,0.0
