location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,43.5,143.0,1053.0,32400,Asia/Tokyo,GMT+9
1,35.75,139.5,22.0,32400,Asia/Tokyo,GMT+9
2,35.75,139.75,40.0,32400,Asia/Tokyo,GMT+9
3,35.5,140.25,10.0,32400,Asia/Tokyo,GMT+9
4,37.75,139.0,2.0,32400,Asia/Tokyo,GMT+9

location_id,time,global_tilted_irradiance (W/m²),shortwave_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²)
0,2025-09-09T00:00,0.0,0.0,0.0,0.0
0,2025-09-09T01:00,0.0,0.0,0.0,0.0
0,2025-09-09T02:00,0.0,0.0,0.0,0.0
0,2025-09-09T03:00,0.0,0.0,0.0,0.0
0,2025-09-09T04:00,0.0,0.0,0.0,0.0
0,2025-09-09T05:00,0.0,0.0,0.0,0.0
0,2025-09-09T06:00,21.0,21.0,20.5,3.9
0,2025-09-09T07:00,76.0,76.0,68.3,29.0
0,2025-09-09T08:00,144.0,144.0,122.6,49.0
0,2025-09-09T09:00,224.0,224.0,183.3,69.8
0,2025-09-09T10:00,306.0,306.0,241.6,92.8
0,2025-09-09T11:00,370.0,370.0,283.2,113.9
0,2025-09-09T12:00,400.0,400.0,298.4,129.8
0,2025-09-09T13:00,380.0,380.0,282.8,128.8
0,2025-09-09T14:00,316.0,316.0,240.7,110.8
0,2025-09-09T15:00,227.0,227.0,181.0,81.9
0,2025-09-09T16:00,137.0,137.0,116.3,50.6
0,2025-09-09T17:00,63.0,63.0,57.9,22.0
0,2025-09-09T18:00,14.0,14.0,14.0,0.0
0,2025-09-09T19:00,0.0,0.0,0.0,0.0
0,2025-09-09T20:00,0.0,0.0,0.0,0.0
0,2025-09-09T21:00,0.0,0.0,0.0,0.0
0,2025-09-09T22:00,0.0,0.0,0.0,0.0
0,2025-09-09T23:00,0.0,0.0,0.0,0.0
0,2025-09-10T00:00,0.0,0.0,0.0,0.0
0,2025-09-10T01:00,0.0,0.0,0.0,0.0
0,2025-09-10T02:00,0.0,0.0,0.0,0.0
0,2025-09-10T03:00,0.0,0.0,0.0,0.0
0,2025-09-10T04:00,0.0,0.0,0.0,0.0
0,2025-09-10T05:00,0.0,0.0,0.0,0.0
0,2025-09-10T06:00,28.0,28.0,25.7,18.9
0,2025-09-10T07:00,105.0,105.0,85.5,74.7
0,2025-09-10T08:00,204.0,204.0,148.7,127.8
0,2025-09-10T09:00,323.0,323.0,209.7,195.5
0,2025-09-10T10:00,445.0,445.0,256.2,273.3
0,2025-09-10T11:00,544.0,544.0,279.7,348.4
0,2025-09-10T12:00,587.0,587.0,282.1,391.4
0,2025-09-10T13:00,555.0,555.0,270.5,379.2
0,2025-09-10T14:00,453.0,453.0,246.0,307.0
0,2025-09-10T15:00,317.0,317.0,201.1,208.3
0,2025-09-10T16:00,183.0,183.0,136.9,114.0
0,2025-09-10T17:00,78.0,78.0,67.9,44.0
0,2025-09-10T18:00,15.0,15.0,14.9,0.5
0,2025-09-10T19:00,0.0,0.0,0.0,0.0
0,2025-09-10T20:00,0.0,0.0,0.0,0.0
0,2025-09-10T21:00,0.0,0.0,0.0,0.0
0,2025-09-10T22:00,0.0,0.0,0.0,0.0
0,2025-09-10T23:00,0.0,0.0,0.0,0.0
0,2025-09-11T00:00,0.0,0.0,0.0,0.0
0,2025-09-11T01:00,0.0,0.0,0.0,0.0
0,2025-09-11T02:00,0.0,0.0,0.0,0.0
0,2025-09-11T03:00,0.0,0.0,0.0,0.0
0,2025-09-11T04:00,0.0,0.0,0.0,0.0
0,2025-09-11T05:00,0.0,0.0,0.0,0.0
0,2025-09-11T06:00,37.0,37.0,30.7,52.8
0,2025-09-11T07:00,138.0,138.0,97.0,159.3
0,2025-09-11T08:00,256.0,256.0,156.0,232.8
0,2025-09-11T09:00,389.0,389.0,205.0,319.5
0,2025-09-11T10:00,517.0,517.0,237.9,406.3
0,2025-09-11T11:00,616.0,616.0,251.9,482.4
0,2025-09-11T12:00,657.0,657.0,251.0,524.0
0,2025-09-11T13:00,620.0,620.0,243.0,505.6
0,2025-09-11T14:00,512.0,512.0,228.0,424.2
0,2025-09-11T15:00,367.0,367.0,196.6,309.0
0,2025-09-11T16:00,221.0,221.0,144.5,191.8
0,2025-09-11T17:00,99.0,99.0,78.5,91.9
0,2025-09-11T18:00,21.0,21.0,19.5,14.7
