forecast_time,region,solar_radiation_J_per_m2
1757041200000,Tokyo,678912
1757052000000,Tokyo,604672
1757062800000,Tokyo,201216
1757073600000,Tokyo,0
1757084400000,Tokyo,0
1757095200000,Tokyo,0
1757106000000,Tokyo,77824
1757116800000,Tokyo,3934208
1757127600000,Tokyo,8217600
1757138400000,Tokyo,7750656
1757149200000,Tokyo,2156544
1757160000000,Tokyo,0
1757170800000,Tokyo,0
1757181600000,Tokyo,0
1757192400000,Tokyo,72704
1757203200000,Tokyo,3812352
1757214000000,Tokyo,8093696
1757224800000,Tokyo,6524928
1757235600000,Tokyo,2322432
1757246400000,Tokyo,0
1757257200000,Tokyo,0
1757268000000,Tokyo,0
1757278800000,Tokyo,65536
1757289600000,Tokyo,3661824
1757300400000,Tokyo,7471104
1757311200000,Tokyo,6959104
1757322000000,Tokyo,1988608
1757332800000,Tokyo,0
1757343600000,Tokyo,0
1757354400000,Tokyo,0
1757365200000,Tokyo,57344
1757376000000,Tokyo,3344384
1757386800000,Tokyo,7016448
1757397600000,Tokyo,6000640
1757408400000,Tokyo,1972224
1757419200000,Tokyo,0
1757430000000,Tokyo,0
1757440800000,Tokyo,0
1757451600000,Tokyo,53248
1757462400000,Tokyo,2936832
1757473200000,Tokyo,7364608
1757484000000,Tokyo,5877760
1757494800000,Tokyo,1761280
1757505600000,Tokyo,0
1757516400000,Tokyo,0
1757527200000,Tokyo,0
1757538000000,Tokyo,40960
1757548800000,Tokyo,1990656
1757570400000,Tokyo,9650176
1757592000000,Tokyo,925696
1757613600000,Tokyo,0
1757635200000,Tokyo,2863104
1757656800000,Tokyo,9629696
1757678400000,Tokyo,1011712
1757700000000,Tokyo,0
1757721600000,Tokyo,3166208
1757743200000,Tokyo,12832768
1757764800000,Tokyo,1929216
1757786400000,Tokyo,0
1757808000000,Tokyo,3125248
1757829600000,Tokyo,14770176
1757851200000,Tokyo,1998848
1757872800000,Tokyo,0
1757894400000,Tokyo,3063808
1757916000000,Tokyo,11730944
1757937600000,Tokyo,1449984
1757959200000,Tokyo,0
1757980800000,Tokyo,3006464
1758002400000,Tokyo,10657792
1758024000000,Tokyo,1335296
1758045600000,Tokyo,0
1758067200000,Tokyo,3579904
1758088800000,Tokyo,13303808
1758110400000,Tokyo,1695744
1758132000000,Tokyo,0
1758153600000,Tokyo,1024000
1758175200000,Tokyo,11296768
1758196800000,Tokyo,1974272
1758218400000,Tokyo,0
1758240000000,Tokyo,999424
1758261600000,Tokyo,3825664
1758283200000,Tokyo,860160
1758304800000,Tokyo,0
1758326400000,Tokyo,614400
