region,solar_radiation_J_per_m2,date,hour
Tokyo,678912,2025-09-05,3
Tokyo,604672,2025-09-05,6
Tokyo,201216,2025-09-05,9
Tokyo,0,2025-09-05,12
Tokyo,0,2025-09-05,15
Tokyo,0,2025-09-05,18
Tokyo,77824,2025-09-05,21
Tokyo,3934208,2025-09-06,0
Tokyo,8217600,2025-09-06,3
Tokyo,7750656,2025-09-06,6
Tokyo,2156544,2025-09-06,9
Tokyo,0,2025-09-06,12
Tokyo,0,2025-09-06,15
Tokyo,0,2025-09-06,18
Tokyo,72704,2025-09-06,21
Tokyo,3812352,2025-09-07,0
Tokyo,8093696,2025-09-07,3
Tokyo,6524928,2025-09-07,6
Tokyo,2322432,2025-09-07,9
Tokyo,0,2025-09-07,12
Tokyo,0,2025-09-07,15
Tokyo,0,2025-09-07,18
Tokyo,65536,2025-09-07,21
Tokyo,3661824,2025-09-08,0
Tokyo,7471104,2025-09-08,3
Tokyo,6959104,2025-09-08,6
Tokyo,1988608,2025-09-08,9
Tokyo,0,2025-09-08,12
Tokyo,0,2025-09-08,15
Tokyo,0,2025-09-08,18
Tokyo,57344,2025-09-08,21
Tokyo,3344384,2025-09-09,0
Tokyo,7016448,2025-09-09,3
Tokyo,6000640,2025-09-09,6
Tokyo,1972224,2025-09-09,9
Tokyo,0,2025-09-09,12
Tokyo,0,2025-09-09,15
Tokyo,0,2025-09-09,18
Tokyo,53248,2025-09-09,21
Tokyo,2936832,2025-09-10,0
Tokyo,7364608,2025-09-10,3
Tokyo,5877760,2025-09-10,6
Tokyo,1761280,2025-09-10,9
Tokyo,0,2025-09-10,12
Tokyo,0,2025-09-10,15
Tokyo,0,2025-09-10,18
Tokyo,40960,2025-09-10,21
Tokyo,1990656,2025-09-11,0
Tokyo,9650176,2025-09-11,6
Tokyo,925696,2025-09-11,12
Tokyo,0,2025-09-11,18
Tokyo,2863104,2025-09-12,0
Tokyo,9629696,2025-09-12,6
Tokyo,1011712,2025-09-12,12
Tokyo,0,2025-09-12,18
Tokyo,3166208,2025-09-13,0
Tokyo,12832768,2025-09-13,6
Tokyo,1929216,2025-09-13,12
Tokyo,0,2025-09-13,18
Tokyo,3125248,2025-09-14,0
Tokyo,14770176,2025-09-14,6
Tokyo,1998848,2025-09-14,12
Tokyo,0,2025-09-14,18
Tokyo,3063808,2025-09-15,0
Tokyo,11730944,2025-09-15,6
Tokyo,1449984,2025-09-15,12
Tokyo,0,2025-09-15,18
Tokyo,3006464,2025-09-16,0
Tokyo,10657792,2025-09-16,6
Tokyo,1335296,2025-09-16,12
Tokyo,0,2025-09-16,18
Tokyo,3579904,2025-09-17,0
Tokyo,13303808,2025-09-17,6
Tokyo,1695744,2025-09-17,12
Tokyo,0,2025-09-17,18
Tokyo,1024000,2025-09-18,0
Tokyo,11296768,2025-09-18,6
Tokyo,1974272,2025-09-18,12
Tokyo,0,2025-09-18,18
Tokyo,999424,2025-09-19,0
Tokyo,3825664,2025-09-19,6
Tokyo,860160,2025-09-19,12
Tokyo,0,2025-09-19,18
Tokyo,614400,2025-09-20,0
